Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades
BAJAUTOFIN,EQ,13-Jan-2005,120.1,121.1,124.0,118.15,124.0,121.3,120.4,5214,627758.05,-
BAJAUTOFIN,EQ,14-Jan-2005,121.3,121.0,124.0,120.0,122.75,121.4,121.5,3380,410664.85,-
BAJAUTOFIN,EQ,17-Jan-2005,121.4,120.0,123.85,120.0,120.15,121.4,120.72,65605,7919754.75,-
BAJAUTOFIN,EQ,18-Jan-2005,121.4,125.0,129.45,121.45,125.35,127.9,125.22,12595,1577113.0,-
BAJAUTOFIN,EQ,19-Jan-2005,127.9,129.95,137.9,127.0,133.5,133.55,134.49,36707,4936557.55,-
BAJAUTOFIN,EQ,20-Jan-2005,133.55,133.0,133.0,127.4,127.65,127.7,130.71,6018,786611.95,-
BAJAUTOFIN,EQ,24-Jan-2005,127.7,131.0,131.0,127.0,127.6,127.25,129.22,10613,1371416.75,-
BAJAUTOFIN,EQ,25-Jan-2005,127.25,129.85,131.4,127.75,130.65,129.9,129.26,3919,506569.25,-
BAJAUTOFIN,EQ,27-Jan-2005,129.9,130.0,134.0,126.1,132.85,133.85,131.33,20129,2643491.7,-
BAJAUTOFIN,EQ,28-Jan-2005,133.85,134.8,135.0,132.0,133.9,134.0,134.26,11765,1579517.95,-
BAJAUTOFIN,EQ,31-Jan-2005,134.0,127.0,135.5,127.0,135.5,135.05,134.79,14086,1898611.55,-
BAJAUTOFIN,EQ,01-Feb-2005,135.05,136.45,136.45,133.1,135.5,135.2,135.12,6670,901251.25,-
BAJAUTOFIN,EQ,02-Feb-2005,135.2,135.8,136.7,135.15,136.0,135.7,135.97,6991,950575.9,-
BAJAUTOFIN,EQ,03-Feb-2005,135.7,136.45,137.8,135.1,136.5,135.75,136.22,10290,1401738.8,-
BAJAUTOFIN,EQ,04-Feb-2005,135.75,135.0,136.05,135.0,135.5,135.8,135.59,3969,538151.4,-
BAJAUTOFIN,EQ,07-Feb-2005,135.8,135.5,136.75,134.25,135.0,135.0,135.3,10024,1356276.4,-
BAJAUTOFIN,EQ,08-Feb-2005,135.0,136.45,136.45,135.2,135.55,135.85,135.83,4750,645203.9,-
BAJAUTOFIN,EQ,09-Feb-2005,135.85,135.25,140.0,134.8,135.5,135.8,136.93,24693,3381122.0,-
BAJAUTOFIN,EQ,10-Feb-2005,135.8,138.8,138.8,135.15,135.95,135.85,135.98,7680,1044364.05,-
BAJAUTOFIN,EQ,11-Feb-2005,135.85,135.9,143.9,135.75,142.0,140.6,140.69,18784,2642673.6,-
BAJAUTOFIN,EQ,14-Feb-2005,140.6,140.25,143.9,140.0,140.0,141.0,141.96,9566,1357960.05,-
BAJAUTOFIN,EQ,15-Feb-2005,141.0,142.15,143.45,139.1,143.45,142.9,141.37,12623,1784546.65,-
BAJAUTOFIN,EQ,16-Feb-2005,142.9,143.5,149.0,143.5,147.1,146.9,146.82,22235,3264611.8,-
BAJAUTOFIN,EQ,17-Feb-2005,146.9,143.0,146.0,143.0,144.0,144.35,144.8,10379,1502918.9,-
BAJAUTOFIN,EQ,18-Feb-2005,144.35,144.0,144.55,141.0,142.7,141.35,143.16,2964,424324.3,-
BAJAUTOFIN,EQ,21-Feb-2005,141.35,143.0,144.9,141.15,141.75,141.6,142.74,5777,824608.15,-
BAJAUTOFIN,EQ,22-Feb-2005,141.6,143.55,152.9,141.25,152.25,151.65,145.66,52803,7691255.85,-
BAJAUTOFIN,EQ,23-Feb-2005,151.65,153.85,162.85,152.0,161.35,160.75,156.13,108446,16931704.55,-
BAJAUTOFIN,EQ,24-Feb-2005,160.75,158.45,167.4,158.45,165.15,165.4,165.03,54982,9073617.65,-
